Source,Target
Sports,Ministry of Social and Family Development
Social and Welfare,"Ministry of Culture, Community and Youth"
Social and Welfare,Ministry of Social and Family Development
Religious,"Ministry of Culture, Community and Youth"
Education,Ministry of Education
Arts and Heritage,"Ministry of Culture, Community and Youth"
Others,"Ministry of Culture, Community and Youth"
Sports,"Ministry of Culture, Community and Youth"
Community,People's Association
Sports,Sport Singapore
Health,Ministry of Health
Unclassified,Ministry of Health
Education,"Ministry of Culture, Community and Youth"
Sports,Ministry of Education
Sports,Ministry of Health
,Ministry of Social and Family Development
,Ministry of Health
Health,"Ministry of Culture, Community and Youth"
Others,Ministry of Social and Family Development
Community,"Ministry of Culture, Community and Youth"
,"Ministry of Culture, Community and Youth"
